iter	RMSE
0	16.95645522
1	16.90358653
2	16.85708226
3	16.81842206
4	16.77585863
5	16.73639855
6	16.69136173
7	16.65538657
8	16.61179333
9	16.58718092
10	16.54919452
11	16.52498317
12	16.48958473
13	16.4618872
14	16.42815921
15	16.40836825
16	16.37550256
17	16.35740823
18	16.33958245
19	16.3216719
20	16.3101012
21	16.28363767
22	16.2660705
23	16.24335184
24	16.22675801
25	16.20848024
26	16.19332461
27	16.17518689
28	16.16123786
29	16.15026503
30	16.1343417
31	16.12369168
32	16.10694519
33	16.09192016
34	16.08047411
35	16.07067975
36	16.06017869
37	16.04690333
38	16.04068186
39	16.03370817
40	16.02744533
41	16.0215132
42	16.00913497
43	16.00005846
44	15.99196278
45	15.98445052
46	15.97623225
47	15.96941603
48	15.96067122
49	15.95319473
50	15.93700457
51	15.92919232
52	15.92150481
53	15.91498884
54	15.90966843
55	15.90203725
56	15.89475869
57	15.89259907
58	15.88906107
59	15.88069937
60	15.87927234
61	15.87689389
62	15.87175548
63	15.86453963
64	15.85893484
65	15.8577658
66	15.85196488
67	15.84734084
68	15.84010589
69	15.83277205
70	15.8236186
71	15.81821216
72	15.81502967
73	15.8072917
74	15.79823645
75	15.79604974
76	15.79119427
77	15.77906346
78	15.77541144
79	15.77043473
80	15.76422075
81	15.75878359
82	15.75254774
83	15.74092861
84	15.73870962
85	15.73547188
86	15.72530106
87	15.72115845
88	15.71500504
89	15.70580597
90	15.70237183
91	15.69645727
92	15.68999183
93	15.68202356
94	15.67258858
95	15.67131467
96	15.66527554
97	15.66161781
98	15.65860493
99	15.65066758
100	15.64712685
101	15.64380815
102	15.63232526
103	15.62553981
104	15.6197118
105	15.61643186
106	15.61254307
107	15.60644891
108	15.60355322
109	15.60160102
110	15.5975802
111	15.59635606
112	15.5902883
113	15.5875862
114	15.57660437
115	15.56961862
116	15.5680254
117	15.56355262
118	15.55874427
119	15.55420429
120	15.55378961
121	15.54846302
122	15.54576554
123	15.54094627
124	15.53641392
125	15.53421088
126	15.53287219
127	15.53021499
128	15.52677535
129	15.52351706
130	15.51974406
131	15.51263762
132	15.5065824
133	15.50459043
134	15.49900557
135	15.49637966
136	15.49340797
137	15.49258804
138	15.48766872
139	15.48207603
140	15.47866095
141	15.47545372
142	15.47421451
143	15.47030673
144	15.46790607
145	15.46416308
