iter	Passed	Remaining
0	2	2832
1	4	2096
2	5	1821
3	6	1740
4	8	1683
5	9	1602
6	11	1608
7	12	1555
8	13	1516
9	14	1476
10	16	1444
11	17	1420
12	18	1397
13	20	1409
14	21	1396
15	22	1384
16	23	1372
17	25	1368
18	26	1357
19	27	1353
20	28	1347
21	30	1341
22	31	1332
23	32	1324
24	33	1325
25	35	1325
26	36	1327
27	38	1333
28	39	1331
29	41	1326
30	42	1319
31	43	1312
32	44	1307
33	45	1302
34	47	1308
35	48	1311
36	50	1308
37	51	1303
38	52	1305
39	54	1303
40	55	1299
41	56	1294
42	58	1291
43	59	1287
44	60	1286
45	62	1288
46	63	1291
47	65	1290
48	66	1288
49	67	1285
50	68	1281
51	70	1280
52	71	1277
53	72	1274
54	73	1270
55	75	1271
56	76	1271
57	78	1268
58	79	1268
59	80	1267
60	81	1258
61	82	1255
62	84	1251
63	85	1248
64	86	1247
65	87	1240
66	88	1238
67	90	1238
68	91	1235
69	92	1233
70	94	1231
71	95	1230
72	96	1227
73	97	1224
74	98	1220
75	100	1217
76	101	1215
77	102	1213
78	104	1212
79	105	1213
80	106	1210
81	107	1207
82	108	1204
83	110	1200
84	111	1198
85	112	1195
86	113	1192
87	114	1189
88	115	1187
89	117	1191
90	119	1190
91	120	1187
92	121	1184
93	122	1182
94	123	1179
95	124	1174
96	125	1172
97	127	1172
98	128	1169
99	129	1167
100	131	1167
101	132	1165
102	133	1162
103	134	1159
104	135	1156
105	136	1154
106	137	1151
107	139	1148
108	140	1146
109	141	1142
110	142	1140
111	143	1137
112	144	1137
113	146	1136
114	147	1133
115	148	1131
116	149	1128
117	150	1127
118	152	1126
119	153	1123
120	154	1118
121	155	1116
122	156	1114
123	157	1112
124	159	1113
125	160	1113
126	161	1110
127	162	1108
128	163	1106
129	164	1103
130	166	1101
131	167	1099
132	168	1098
133	169	1096
134	171	1098
135	172	1098
136	174	1097
137	175	1095
138	176	1093
139	177	1090
140	178	1088
141	179	1086
142	180	1082
143	181	1079
144	182	1077
145	184	1076
146	185	1077
147	186	1075
148	187	1073
149	189	1071
150	190	1068
151	191	1066
152	192	1064
153	193	1062
154	194	1059
155	195	1057
156	196	1055
157	197	1053
158	199	1052
159	200	1050
160	201	1048
161	202	1046
162	203	1043
163	204	1041
164	205	1039
165	206	1038
166	207	1035
167	208	1034
168	209	1031
169	210	1030
170	212	1028
171	213	1028
172	214	1026
173	215	1024
174	217	1023
175	218	1021
176	219	1018
177	220	1016
178	221	1014
179	222	1012
180	223	1011
181	224	1009
182	225	1008
183	227	1007
184	228	1006
185	229	1004
186	230	1002
187	231	1000
188	232	999
189	233	997
190	235	995
191	236	993
192	237	992
193	238	990
194	240	990
195	241	989
196	242	988
197	243	986
198	244	985
199	245	983
200	246	981
201	248	980
202	249	978
203	250	977
204	251	975
205	252	974
206	254	974
207	255	973
208	256	971
209	257	970
210	259	968
211	260	967
212	261	965
213	262	964
214	263	963
215	264	961
216	266	960
217	267	959
218	268	957
219	269	956
220	270	954
221	271	952
222	273	951
223	274	949
224	275	948
225	276	946
226	277	945
227	278	943
228	279	942
229	281	942
230	282	941
231	283	939
232	285	938
233	286	936
234	287	935
235	288	933
236	289	932
237	290	931
238	291	929
239	293	928
240	294	926
241	295	925
242	296	924
243	297	922
244	298	921
245	300	919
246	301	918
247	302	917
248	303	915
249	304	914
250	306	913
251	307	912
252	308	912
253	310	911
254	311	909
255	312	908
256	313	907
257	314	905
258	316	904
259	317	903
260	318	901
261	319	900
262	320	898
263	322	897
264	323	897
265	325	896
266	326	896
267	327	895
268	329	894
269	330	893
270	331	891
271	332	890
272	333	888
273	334	887
274	336	887
275	337	886
276	339	885
277	340	883
278	341	882
279	342	880
280	343	879
281	344	877
282	345	876
283	347	874
284	348	873
285	349	872
286	350	871
287	352	870
288	353	869
289	354	868
290	355	866
291	356	865
292	358	864
293	359	863
294	360	861
295	361	860
296	363	859
297	364	858
298	365	856
299	366	855
300	367	853
301	368	852
302	369	851
303	371	849
304	372	848
305	373	847
306	374	845
307	375	844
308	377	843
309	378	842
310	379	840
311	380	839
312	381	838
313	383	836
314	384	835
315	385	834
316	386	832
317	387	831
318	388	830
319	389	828
320	391	828
321	392	827
322	394	825
323	395	824
324	396	823
325	397	822
326	398	820
327	399	819
328	401	817
329	402	816
330	403	815
331	404	814
332	405	812
333	407	811
334	408	810
335	409	808
336	410	807
337	411	806
338	412	804
339	413	803
340	414	801
341	416	800
342	417	799
343	418	798
344	419	797
345	421	796
346	422	794
347	423	793
348	424	792
349	425	790
350	426	789
351	428	788
352	429	786
353	430	785
354	431	784
355	433	783
356	434	782
357	435	781
358	436	779
359	437	778
360	439	777
361	440	776
362	441	774
363	442	773
364	444	772
365	445	771
366	446	770
367	447	769
368	449	768
369	450	766
370	451	765
371	452	764
372	453	762
373	455	761
374	456	760
375	457	759
376	459	759
377	460	757
378	461	756
379	463	755
380	464	754
381	465	753
382	466	751
383	467	750
384	469	749
385	470	748
386	471	747
387	473	746
388	474	744
389	475	743
390	476	742
391	478	742
392	479	740
393	480	739
394	482	738
395	483	737
396	485	736
397	486	735
398	487	734
399	488	733
400	490	732
401	491	730
402	492	729
403	493	728
404	494	727
405	496	725
406	497	724
407	499	724
408	500	723
409	501	721
410	503	720
411	504	719
412	505	718
413	506	717
414	507	716
415	509	714
416	510	713
417	511	712
418	513	711
419	514	710
420	515	709
421	516	707
422	518	706
423	519	705
424	520	703
425	521	702
426	522	701
427	523	700
428	525	699
429	526	697
430	527	696
431	528	695
432	530	694
433	531	692
434	532	691
435	533	690
436	534	689
437	536	687
438	537	686
439	538	685
440	539	684
441	541	683
442	542	681
443	544	681
444	545	680
445	546	679
446	547	677
447	549	676
448	550	675
449	552	674
450	553	673
451	554	672
452	555	671
453	556	669
454	558	668
455	559	667
456	560	665
457	561	664
458	562	663
459	564	662
460	565	661
461	566	660
462	567	658
463	569	657
464	570	656
465	571	654
466	572	653
467	573	651
468	574	650
469	575	649
470	577	648
471	578	647
472	579	645
473	580	644
474	581	643
475	583	641
476	584	640
477	585	639
478	586	637
479	587	636
480	588	635
481	590	634
482	591	632
483	592	631
484	594	630
485	595	629
486	596	628
487	597	626
488	598	625
489	599	624
490	601	623
491	602	622
492	604	621
493	605	620
494	607	619
495	608	618
496	609	617
497	611	616
498	612	614
499	613	613
500	615	612
501	616	611
502	617	610
503	618	608
504	619	607
505	620	606
506	622	605
507	623	604
508	624	602
509	626	601
510	627	600
511	629	599
512	630	598
513	631	597
514	632	595
515	634	594
516	635	593
517	637	592
518	638	591
519	639	590
520	641	589
521	642	588
522	643	587
523	644	585
524	646	584
525	647	583
526	648	582
527	649	580
528	650	579
529	652	578
530	653	577
531	655	576
532	656	575
533	657	574
534	659	572
535	660	571
536	661	570
537	662	569
538	663	567
539	665	566
540	666	565
541	667	564
542	669	563
543	670	561
544	671	560
545	672	559
546	673	558
547	675	556
548	676	555
549	677	554
550	678	552
551	680	551
552	681	550
553	682	549
554	683	548
555	684	546
556	686	545
557	687	544
558	688	542
559	689	541
560	690	540
561	691	538
562	693	538
563	694	536
564	695	535
565	696	534
566	697	532
567	698	531
568	700	530
569	701	528
570	702	527
571	703	526
572	704	525
573	706	524
574	707	523
575	709	522
576	710	520
577	711	519
578	712	518
579	713	516
580	714	515
581	715	514
582	717	512
583	718	511
584	719	510
585	721	509
586	722	508
587	723	506
588	724	505
589	725	504
590	726	503
591	727	501
592	729	500
593	730	499
594	731	498
595	733	497
596	734	495
597	735	494
598	736	493
599	737	491
600	738	490
601	739	489
602	740	487
603	741	486
604	743	485
605	744	483
606	746	483
607	747	481
608	748	480
609	749	479
610	751	478
611	752	477
612	754	476
613	755	474
614	756	473
615	758	472
616	760	471
617	761	470
618	762	469
619	764	468
620	765	467
621	766	466
622	768	464
623	769	463
624	771	462
625	773	462
626	775	461
627	776	460
628	777	458
629	779	457
630	780	456
631	781	455
632	783	454
633	785	453
634	786	451
635	787	450
636	788	449
637	789	448
638	791	447
639	792	445
640	793	444
641	795	443
642	796	442
643	797	441
644	799	439
645	800	438
646	801	437
647	803	436
648	804	434
649	805	433
650	806	432
651	808	431
652	810	430
653	812	429
654	813	428
655	814	427
656	816	426
657	817	424
658	818	423
659	819	422
660	820	421
661	822	420
662	823	418
663	825	417
664	826	416
665	828	415
666	829	414
667	830	412
668	831	411
669	833	410
670	834	409
671	836	408
672	837	406
673	838	405
674	840	404
675	841	403
676	842	401
677	843	400
678	844	399
679	846	398
680	847	397
681	852	397
682	853	396
683	854	394
684	856	393
685	857	392
686	858	391
687	860	390
688	861	388
689	863	387
690	864	386
691	865	385
692	867	384
693	868	382
694	869	381
695	870	380
696	872	379
697	873	378
698	875	376
699	876	375
700	878	374
701	879	373
702	880	372
703	881	370
704	883	369
705	884	368
706	886	367
707	887	366
708	888	364
709	890	363
710	891	362
711	892	361
712	894	359
713	895	358
714	897	357
715	898	356
716	899	355
717	900	353
718	901	352
719	903	351
720	904	349
721	905	348
722	906	347
723	907	345
724	908	344
725	909	343
726	910	341
727	911	340
728	913	339
729	915	338
730	916	337
731	917	336
732	918	334
733	920	333
734	921	332
735	922	330
736	923	329
737	925	328
738	927	327
739	928	326
740	929	324
741	930	323
742	931	322
743	933	321
744	934	319
745	935	318
746	936	317
747	937	315
748	939	314
749	940	313
750	941	312
751	942	310
752	943	309
753	945	308
754	946	307
755	947	305
756	948	304
757	949	303
758	950	301
759	952	300
760	953	299
761	954	298
762	956	296
763	957	295
764	970	298
765	972	296
766	973	295
767	974	294
768	975	293
769	977	291
770	978	290
771	979	289
772	981	288
773	982	286
774	983	285
775	984	284
776	986	283
777	987	281
778	988	280
779	990	279
780	991	277
781	992	276
782	993	275
783	994	274
784	995	272
785	996	271
786	998	270
787	999	268
788	1000	267
789	1001	266
790	1002	264
791	1004	263
792	1005	262
793	1006	261
794	1007	259
795	1008	258
796	1009	257
797	1010	255
798	1011	254
799	1012	253
800	1014	252
801	1015	250
802	1016	249
803	1017	248
804	1019	246
805	1020	245
806	1021	244
807	1022	242
808	1023	241
809	1025	240
810	1026	239
811	1029	238
812	1030	236
813	1031	235
814	1032	234
815	1033	233
816	1034	231
817	1035	230
818	1037	229
819	1038	227
820	1039	226
821	1040	225
822	1042	224
823	1043	222
824	1044	221
825	1045	220
826	1046	218
827	1047	217
828	1048	216
829	1049	215
830	1051	213
831	1052	212
832	1053	211
833	1054	209
834	1055	208
835	1056	207
836	1058	206
837	1059	204
838	1060	203
839	1061	202
840	1062	200
841	1063	199
842	1064	198
843	1065	197
844	1067	195
845	1068	194
846	1070	193
847	1071	192
848	1072	190
849	1073	189
850	1074	188
851	1076	186
852	1077	185
853	1078	184
854	1079	183
855	1081	181
856	1082	180
857	1083	179
858	1084	178
859	1085	176
860	1086	175
861	1088	174
862	1089	172
863	1090	171
864	1091	170
865	1092	169
866	1093	167
867	1094	166
868	1096	165
869	1097	163
870	1098	162
871	1099	161
872	1100	160
873	1101	158
874	1102	157
875	1103	156
876	1104	154
877	1105	153
878	1106	152
879	1108	151
880	1109	149
881	1110	148
882	1111	147
883	1112	146
884	1114	144
885	1115	143
886	1116	142
887	1117	140
888	1118	139
889	1119	138
890	1120	137
891	1122	135
892	1123	134
893	1124	133
894	1125	132
895	1126	130
896	1128	129
897	1129	128
898	1130	126
899	1131	125
900	1132	124
901	1133	123
902	1134	121
