variable_name,storage_type,display_format,value_label,variable_label
CaseID,int,%8.0g,,Case ID 
CASEID_NEW,long,%12.0g,,Longitudnal CaseID 
qflag,byte,%8.0g,QFLAG,DOV: Qualification Flag 
weight1,double,%12.0g,,Post-Stratification weight for Genpop (n=2994) 
weight1_freqwt,float,%9.0g,,"wgt to CPS adult pop, scaled down by 2994/3110=round(weight1*2436295 > 95/3110) "
weight2,double,%12.0g,,Post-Stratification weight for LGB (n=551) 
weight1a,double,%12.0g,,Post-Stratification weight for total consented Genpop respondents (n=3110) 
weight1a_freqwt,float,%9.0g,,"weighted up to CPS adult population, =round(weight1a*243629595/3110) "
weight_combo,float,%9.0g,,"weight that combines all LGB subjects weighted down, with gen pop "
weight_combo_freqwt,float,%9.0g,,frequency weight version of weight_combo 
duration,int,%8.0g,,Interview duration in minutes 
speed_flag,byte,%8.0g,SPEED_FL,Respondents who completed survey in under 2 minutes 
consent,byte,%8.0g,CONSENT,Do you consent to participate in this study: 
xlgb,byte,%8.0g,XLGB,LGB Sample 
S1,byte,%8.0g,S1,Are you married? 
S2,byte,%8.0g,S2,"Do you have a boyfriend, a girlfriend, a sexual partner or a romantic partner? "
S3,byte,%8.0g,S3,"Have you EVER had a boyfriend, a girlfriend, or a sexual or romantic partner? "
DOV_Branch,byte,%8.0g,DOV_BRAN,Data-only variable: DOV_Branch 
Q3_Refused,byte,%8.0g,Q3_REFUS,"* [Refused] What is your [spouse, i.e. husband or wifes; boyfriend/girlfriends; la "
Q4,byte,%8.0g,Q4,* Next are questions about [Partner name] and the family [Partner name] grew up wi 
Q5,byte,%8.0g,Q5,Is [Partner name] the same sex as you? 
Q6A,byte,%8.0g,Q6A,Is [Partner name] Latino or Hispanic? 
Q6B,byte,%8.0g,Q6B,What is [Partner name]’s race? 
Q9,byte,%8.0g,Q9,How old is [Partner name]? 
Q10,byte,%8.0g,Q10,What is the highest level of schooling [Partner name] has completed? 
Q11,byte,%8.0g,Q11,* What is the highest level of schooling [Partner name]’s MOTHER has completed? If 
Q12,byte,%8.0g,Q12,"Generally speaking, does [Partner name] think of [herself/themself] as: "
Q14,byte,%8.0g,Q14,"* Next are a few questions about you, and the family you grew up with. What is the "
Q15A7,byte,%8.0g,Q15A7,"* When you actually met [Partner name] in person for the first time, did you meet "
Q16,byte,%8.0g,,* How many of your relatives do you see in person at least once a month? Include p 
Q16_Refused,byte,%8.0g,Q16_REFU,* [Refused] How many of your relatives do you see in person at least once a month? 
Q17A,byte,%8.0g,Q17A,"Including your current marriage, how many times have you been married? "
Q17B,byte,%8.0g,LABA,How many times have you been married? 
Q17C,byte,%8.0g,Q17C,"What Gender are you most attracted to, sexually? "
Q17D,byte,%8.0g,Q17D,"What Gender are you most attracted to, sexually? "
Q19,byte,%8.0g,Q19,Are you currently living with [Partner name]? 
Q20,byte,%8.0g,Q20,Have you ever lived together with [Partner name]? 
Q21A_Year,byte,%8.0g,Q21A_YEA,[Year] In what Year and Month did you first meet [Partner_Name]? 
Q21A_Month,byte,%8.0g,Q21A_MON,[Month] In what Year and Month did you first meet [Partner_Name]? 
Q21B_Year,byte,%8.0g,Q21B_YEA,* [Year] In what year and month did your romantic relationship with [Partner_Name] 
Q21B_Month,byte,%8.0g,Q21B_MON,* [Month] In what year and month did your romantic relationship with [Partner_Name 
Q21C_Year,byte,%8.0g,Q21C_YEA,[Year] In what year and month did you first live together with [Partner_Name]? 
Q21C_Month,byte,%8.0g,Q21C_MON,[Month] In what year and month did you first live together with [Partner_Name]? 
Q21D_Year,byte,%8.0g,Q21D_YEA,[Year] In what Year and Month did you marry [Partner_Name]? 
Q21D_Month,byte,%8.0g,Q21D_MON,[Month] In what Year and Month did you marry [Partner_Name]? 
w6_identity,byte,%8.0g,W6_IDENT,Do you think of yourself as 
w6_outness,byte,%8.0g,W6_OUTNE,"* Thinking about the important people in your life, how many are aware that you ar "
w6_outness_timing,byte,%8.0g,V62_A,* How old were you when a few of the important people in your life first became aw 
Q23,byte,%8.0g,Q23,"Between you and [Partner name], who earned more income in 2016: "
Q24_Refused,byte,%8.0g,Q24_REFU,* [Refused] Please write the story of how you and [Partner name] first met and got 
Q25,byte,%8.0g,Q25,Did you and [Partner name] attend the same high school? 
Q26,byte,%8.0g,Q26,Did you and [Partner name] attend the same college or university? 
Q27,byte,%8.0g,Q27,Did you and [Partner name] grow up in the same city or town? 
Q28,byte,%8.0g,Q28,Did your parents know [Partner name]’s parents before you met [Partner name]? 
w6_friend_connect_1,byte,%8.0g,W6_FRIEN,* [I knew one (or more) of [Partner name]'s friends before meeting [Partner name]. 
w6_friend_connect_2,byte,%8.0g,V71_A,* [[Partner name] knew one (or more) of my friends before I met [Partner name].] C 
w6_friend_connect_3,byte,%8.0g,V72_A,* [One (or more) of my friends knew one (or more) of [Partner name]'s friends befo 
w6_friend_connect_4,byte,%8.0g,V73_A,[None of the above] Choose ALL that apply: 
w6_friend_connect_Refused,byte,%8.0g,V74_A,[Refused] Choose ALL that apply: 
Q32,byte,%8.0g,Q32,Did you use an Internet service to meet [Partner name]? 
Q34,byte,%8.0g,Q34,"* In general, how would you describe the quality of your relationship with [Partne "
Q35_Refused,byte,%8.0g,Q35_REFU,"* [Refused] In your own words, explain why your relationship with [Partner name] i "
w6_sex_frequency,byte,%8.0g,W6_SEX_F,"* During the last 12 months, about how often did you have sex with [Partner name]? "
w6_otherdate,byte,%8.0g,W6_OTHER,"* In the past year, have you ever met someone for dating, for romance, or for sex "
w6_how_many,byte,%8.0g,W6_HOW_M,"* How many Different people besides [Partner name] have you met for dating, or rom "
w6_how_meet_Refused,byte,%8.0g,V83_A,"* [Refused] How did you meet this person (for dating, romance, or sex) you met las "
w6_otherdate_app,byte,%8.0g,V84_A,* In the Past Year have you ever used an app on your phone (such as Tinder or Grin 
w6_how_many_app,byte,%8.0g,V85_A,"* Of the [Selected response from w6_how_many] you met in the past year, how many d "
Past_Partner_Q1,byte,%8.0g,PAST_PAR,Were you ever married to [Partner name]? 
